,YearMonth,"Retail Price of Electricity in Commercial Sector, U.S. Average, Monthly,cents per kilowatthour"
232,200208,8.24
233,200207,8.33
234,200206,8.18
235,200205,7.84
236,200204,7.68
237,200203,7.72
238,200202,7.68
239,200201,7.49
240,200112,7.66
241,200111,7.73
242,200110,8.27
243,200109,8.22
244,200108,8.35
245,200107,8.41
246,200106,8.13
247,200105,7.77
248,200104,7.73
249,200103,7.7
250,200102,7.51
251,200101,7.25
252,200012,7.52
253,200011,7.34
254,200010,7.67
255,200009,7.73
256,200008,7.93
257,200007,7.76
258,200006,7.7
259,200005,7.25
260,200004,7.05
261,200003,7.03
262,200002,6.96
263,200001,6.93
264,199912,6.88
265,199911,7.13
266,199910,7.41
267,199909,7.45
268,199908,7.49
269,199907,7.56
270,199906,7.42
271,199905,7.21
272,199904,7.08
273,199903,7.15
274,199902,7.18
275,199901,6.99
276,199812,7.11
277,199811,7.11
278,199810,7.44
279,199809,7.55
280,199808,7.67
281,199807,7.69
282,199806,7.61
283,199805,7.45
284,199804,7.31
285,199803,7.28
286,199802,7.29
287,199801,7.22
288,199712,7.24
289,199711,7.43
290,199710,7.66
291,199709,7.86
292,199708,7.91
293,199707,7.86
294,199706,7.88
295,199705,7.58
296,199704,7.4
297,199703,7.44
298,199702,7.38
299,199701,7.27
300,199612,7.29
301,199611,7.52
302,199610,7.84
303,199609,7.96
304,199608,7.99
305,199607,7.95
306,199606,7.72
307,199605,7.62
308,199604,7.48
309,199603,7.46
310,199602,7.39
311,199601,7.31
312,199512,7.36
313,199511,7.6
314,199510,7.85
315,199509,7.84
316,199508,7.95
317,199507,8.06
318,199506,7.95
319,199505,7.64
320,199504,7.5
321,199503,7.53
322,199502,7.49
323,199501,7.33
324,199412,7.39
325,199411,7.53
326,199410,7.95
327,199409,8.2
328,199408,8.1
329,199407,8.08
330,199406,7.99
331,199405,7.7
332,199404,7.47
333,199403,7.49
334,199402,7.51
335,199401,7.38
336,199312,7.41
337,199311,7.68
338,199310,8.08
339,199309,8.05
340,199308,7.99
341,199307,8.0
342,199306,7.98
343,199305,7.74
344,199304,7.47
345,199303,7.41
346,199302,7.36
347,199301,7.3
348,199212,7.39
349,199211,7.51
350,199210,7.86
351,199209,7.95
352,199208,7.91
353,199207,7.91
354,199206,7.86
355,199205,7.58
356,199204,7.4
357,199203,7.41
358,199202,7.36
359,199201,7.28
360,199112,7.28
361,199111,7.45
362,199110,7.78
363,199109,7.74
364,199108,7.72
365,199107,7.71
366,199106,7.62
367,199105,7.49
368,199104,7.34
369,199103,7.35
370,199102,7.34
371,199101,7.15
372,199012,7.17
373,199011,7.33
374,199010,7.58
375,199009,7.49
376,199008,7.53
377,199007,7.52
378,199006,7.49
379,199005,7.31
380,199004,7.19
381,199003,7.22
382,199002,7.15
383,199001,6.93
